iter	MAE
351	600467.7058
352	600174.3336
353	599878.7383
354	599555.7246
355	599370.9128
356	598905.398
357	598748.7256
358	597960.575
359	597303.7927
360	596959.1479
361	596017.9271
362	595395.8825
363	594992.8293
364	594540.3753
365	594147.2319
366	593847.694
367	593483.1249
368	593145.2901
369	593038.7155
370	592888.4999
371	592742.8381
372	592261.2332
373	591767.8245
374	591371.3812
375	590757.2942
376	590635.4579
377	589691.8027
378	589404.348
379	589278.6505
380	588259.6927
381	587458.5739
382	587055.64
383	586587.8523
384	586237.4685
385	585407.8433
386	585158.8999
387	584510.2838
388	583723.5747
389	583451.4113
390	583181.6858
391	583015.0826
392	582549.2845
393	582001.8677
394	581754.2325
395	581529.3011
396	580881.2258
397	580584.0493
398	580051.8448
399	579646.6285
400	578979.1193
401	578765.1552
402	577870.0453
403	577695.3141
404	577317.6048
405	576737.5731
406	576350.6277
407	576167.1414
408	576041.1526
409	575637.0892
410	575385.2436
411	575144.3942
412	574985.7639
413	574637.0265
414	574477.5658
415	574134.184
416	573833.0674
417	573129.1518
418	572746.0961
419	571610.4015
420	571008.6997
421	570651.6466
422	570438.6913
423	569594.8996
424	569076.7042
425	568887.7091
426	568493.6897
427	568176.1429
428	567994.7152
429	567817.2459
430	567710.5738
431	567531.5695
432	567287.7133
433	567157.6502
434	566474.3443
435	566291.7454
436	565629.7789
437	565303.4972
438	565012.6923
439	564706.5817
440	564509.3697
441	563817.8709
442	563559.3211
443	563084.8641
444	562752.634
445	562485.2055
446	562198.1613
447	561966.1212
448	561744.4635
449	561518.6404
450	561283.9641
451	561055.9974
452	560928.0337
453	560740.5947
454	560618.1559
455	560105.9538
456	559733.7948
457	559565.072
458	559371.2049
459	559155.7878
460	558936.7143
461	558820.7214
462	558531.2212
463	558363.6674
464	558101.2132
465	557940.7898
466	557421.0202
467	557225.8768
468	556675.6128
469	556494.0685
470	556399.4855
471	556299.7141
472	556023.3681
473	555784.4277
474	555549.8694
475	555338.4184
476	555131.0406
477	554618.104
478	554464.2915
479	554165.3338
480	553988.0614
481	553612.8756
482	553480.7191
483	553298.7838
484	552997.6119
485	552814
486	552628.6989
487	552404.4951
488	552302.1515
489	552098.4426
490	551769.7844
491	551666.3707
492	551276.6779
493	551140.1829
494	550999.9405
495	550626.5328
496	550540.6393
497	550245.199
498	549584.4495
499	549192.4635
500	549007.3026
501	548690.1491
502	548496.131
503	548243.8343
504	547543.3408
505	547150.0382
506	546808.9646
507	546551.7978
508	546425.0312
509	546280.523
510	546189.7326
511	545969.7648
512	545601.48
513	545388.1612
514	545040.9678
515	544825.8339
516	544718.6016
517	544540.3611
518	544169.5374
519	543938.2343
520	543681.9163
521	543449.8165
522	543267.4348
523	542287.2434
524	542018.771
525	541804.7425
526	541211.4432
527	540927.8742
528	540641.4382
529	540461.8109
530	540312.4639
531	540135.0335
532	539800.2547
533	539645.954
534	539627.0213
535	539162.3654
536	538745.3775
537	538449.7372
538	538180.9286
539	537993.8967
540	537828.8312
541	537002.7691
542	536912.161
543	536879.5741
544	536613.795
545	536281.9248
546	536167.9662
547	535825.2056
548	535649.1222
549	535571.3323
550	535470.4703
551	535379.2784
552	535113.1799
553	535068.3241
554	534824.1188
555	534608.7999
556	534440.0294
557	534156.3428
558	534047.407
559	533793.9643
560	533535.4407
561	533409.5582
562	533227.6324
563	532931.2688
564	532881.5207
565	532712.89
566	532346.3965
567	532193.4843
568	532085.8273
569	531840.92
570	531625.219
571	531491.7676
572	531309.7981
573	531161.3432
574	531088.9604
575	530880.2966
576	530837.1469
577	530815.3245
578	530714.9515
579	530427.2256
580	530315.7154
581	530172.4379
582	530106.4435
583	529818.0439
584	529705.1473
585	529509.8583
586	528735.0304
587	528513.0149
588	528448.4922
589	528384.7351
590	528221.4495
591	528065.4297
592	527882.0673
593	527707.7063
594	527242.0477
595	527066.1419
596	526780.0188
597	526440.2334
598	526331.6505
599	526232.8299
600	525850.6568
601	525795.0375
602	525643.3582
603	525568.4091
604	525469.9849
605	525411.6296
606	525272.3388
607	525222.4821
608	525165.1264
609	524969.5312
610	524832.9359
611	524763.9351
612	524678.5046
613	524527.8144
614	524235.6198
615	524047.5611
616	523989.6539
617	523721.9864
618	523598.5701
619	523510.5688
620	523446.0331
621	523349.1167
622	523226.2901
623	522960.7894
624	522614.8348
625	522572.2986
626	522386.9888
627	522209.0404
628	522128.9398
629	521845.6169
630	521743.6716
631	521620.1914
632	521613.4341
633	521545.3987
634	521431.7618
635	521267.0561
636	520955.3483
637	520693.3027
638	520619.884
639	520489.1172
640	520076.7638
641	519872.1783
642	519704.163
643	519494.0022
644	519348.3778
645	519229.7564
646	518915.7705
647	518702.7132
648	518570.4614
649	518307.2913
650	518218.7244
651	517948.4664
652	517667.5384
653	517492.243
654	517136.3051
655	516947.6439
656	516822.6049
657	516737.6629
658	516607.5178
659	516538.9151
660	516467.3946
661	516355.3324
662	516271.6202
663	516203.1384
664	516166.4536
665	515998.1858
666	515865.3983
667	515686.8358
668	515569.0962
669	515077.4778
670	514958.9626
671	514577.0487
672	514484.0359
673	514085.967
674	513826.8096
675	513723.9064
676	513587.9215
677	513133.9679
678	512974.8539
679	512821.7769
680	512621.1362
681	512445.1591
682	512392.1859
683	512284.1408
684	511896.0677
685	511746.2076
686	511631.1349
687	511539.5089
688	511198.6378
689	511103.7704
690	510969.634
691	510913.7116
692	510870.583
693	510645.7056
694	510327.5986
695	510191.2222
696	509824.2332
697	509651.463
698	509488.5564
699	509314.4865
700	509144.7112
701	508915.746
702	508858.9643
703	508758.8908
704	508618.1944
705	508553.7473
706	508152.8514
707	508058.2939
708	507826.3758
709	507670.6158
710	507418.001
711	507243.9614
712	506799.0433
713	506724.9606
714	506678.5076
715	506562.2769
716	506388.1725
717	505974.0413
718	505918.2469
719	505747.0528
720	505528.5591
721	505467.1039
722	505197.7216
723	505091.4186
724	504828.2898
725	504645.1214
726	504580.7639
727	503956.6542
728	503899.0781
729	503775.7113
730	503704.4738
731	503505.5214
732	503354.4065
733	503281.2559
734	503208.5542
735	503026.3576
736	502723.1286
737	502524.9455
738	502251.2567
739	501996.5588
740	501954.124
741	501883.3428
742	501768.3703
743	501535.996
744	501293.148
745	500953.5181
746	500730.613
747	500661.0908
748	500467.2469
749	500357.8825
750	500127.0785
751	500025.4073
752	499860.4726
753	499747.6031
754	499630.006
755	499416.1134
756	499259.1291
757	499157.222
758	499033.5167
759	498913.668
760	498570.2553
761	498528.5479
762	498446.6708
763	498380.0613
764	498246.3712
765	498203.9971
766	498101.4741
767	497960.9151
768	497775.1518
769	497767.201
770	497706.2188
771	497598.526
772	497510.2689
773	497233.7794
774	497190.735
775	497089.9378
776	496997.6941
777	496828.9871
778	496651.6296
779	496488.1379
780	496336.0794
781	496269.1908
782	496112.5358
783	495966.0265
784	495798.6093
785	495511.1457
786	495436.9353
787	495345.9931
788	495087.4785
789	494907.2355
790	494614.1267
791	494496.4443
792	494363.5916
793	494120.7434
794	494022.9145
795	493755.3561
796	493656.6049
797	493549.065
798	493469.6007
799	493399.6048
800	493212.5411
801	493151.768
802	493101.6845
803	492998.614
804	492854.9675
805	492559.6799
806	492350.4092
807	492306.2691
808	492154.5063
809	492072.0973
810	491975.3732
811	491785.0034
812	491514.9585
813	491479.785
814	491415.0634
815	491223.9797
816	490972.4666
817	490940.8066
818	490773.5447
819	490621.0979
820	490546.0905
821	490318.0972
822	490207.0393
823	490106.7003
824	489916.2548
825	489772.4202
826	489651.4912
827	489482.9847
828	489386.3973
829	489309.7432
830	489238.0202
831	489121.8751
832	489029.9058
833	488935.3481
834	488914.954
835	488753.9425
836	488628.3818
837	488542.4197
838	488507.0528
839	488041.5998
840	487790.8375
841	487635.5885
842	487440.0694
843	487349.7563
844	486866.7241
845	486783.2469
846	486615.3922
847	486562.9443
848	486463.4646
849	486341.0513
850	486265.1828
851	486010.4131
852	485917.3629
853	485849.6047
854	485560.1733
855	485411.9862
856	485304.5453
857	485112.6147
858	485069.0744
859	484952.7095
860	484946.8329
861	484892.8741
862	484861.2084
863	484761.3283
864	484618.1264
865	484566.3651
866	484447.758
867	484281.6573
868	483809.1927
869	483511.5074
870	483230.1575
871	482747.7529
872	482667.1255
873	482431.6079
874	482064.8953
875	481950.1683
876	481872.6537
877	481795.5385
878	481716.5896
879	481671.178
880	481643.0002
881	481563.9318
882	481378.3403
883	481350.6531
884	481327.6795
885	481238.0073
886	481155.9542
887	481035.7008
888	480909.089
889	480897.4876
890	480798.4592
891	480738.3244
892	480701.3537
893	480583.7501
894	480453.1872
895	480411.6464
896	480113.6191
897	479766.7733
898	479702.4681
899	479620.4972
900	479544.4013
901	479490.0095
902	479423.1883
903	479340.9306
904	479298.2893
905	479062.6776
906	478953.2534
907	478909.6259
908	478811.3938
909	478701.9765
910	478558.6888
911	478480.5383
912	478416.6088
913	478327.6262
914	478174.4579
915	478027.8898
916	477943.945
917	477920.255
918	477720.9787
919	477695.6872
920	477634.9509
921	477600.859
922	477249.7496
923	477136.5041
924	477117.2057
925	476908.6422
926	476794.744
927	476733.3152
928	476693.37
929	476514.7522
930	476328.0399
931	476303.5455
932	476205.8846
933	476141.8457
934	475938.4144
935	475875.8993
936	475822.6154
937	475740.7154
938	475675.6181
939	475421.2225
940	475406.2966
941	475357.474
942	475279.7304
943	475103.866
944	475048.1135
945	474985.5437
946	474884.2627
947	474824.0566
948	474776.6611
949	474575.849
950	474409.9007
951	474379.6244
952	474301.3432
953	474250.3028
954	474110.4691
955	474068.4626
956	473991.2203
957	473937.9725
958	473923.5191
959	473857.3621
960	473522.8487
961	473410.8124
962	473406.8328
963	473343.863
964	473177.3788
965	473136.9671
966	473116.9585
967	473052.8469
968	473026.5019
969	473007.307
970	472947.2887
971	472910.0072
972	472856.3351
973	472769.6703
974	472706.2052
975	472634.1196
976	472532.7943
977	472458.1875
978	472353.1427
979	472292.3155
980	472195.4533
981	472128.5223
982	472090.6743
983	471812.04
984	471720.445
985	471669.3723
986	471628.9918
987	471427.4229
988	471396.3861
989	471307.8374
990	471285.3149
991	471258.8659
992	470837.2929
993	470757.5547
994	470529.8693
995	470418.3927
996	470341.4915
997	470292.0742
998	470193.2368
999	470068.8297
